python : import time: self [us] | cumulative | imported package
No linha:1 caractere:1
+ python -X importtime -c "import src.besx.entrypoints.dashboard.stream ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (import time: se...mported package:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
import time:      1832 |       1832 |                       streamlit.proto.Checkbox_pb2
import time:      1070 |       1070 |                       streamlit.proto.Code_pb2
import time:      1049 |       1049 |                       streamlit.proto.ColorPicker_pb2
import time:      1715 |       1715 |                       streamlit.proto.DataFrame_pb2
import time:      1130 |       1130 |                       streamlit.proto.DateInput_pb2
import time:      1109 |       1109 |                       streamlit.proto.DeckGlJsonChart_pb2
import time:      1028 |       1028 |                       streamlit.proto.DocString_pb2
import time:       938 |        938 |                       streamlit.proto.Empty_pb2
import time:       955 |        955 |                       streamlit.proto.Exception_pb2
import time:      1333 |       1333 |                       streamlit.proto.Favicon_pb2
import time:      1174 |       1174 |                       streamlit.proto.FileUploader_pb2
import time:      1405 |       1405 |                       streamlit.proto.GraphVizChart_pb2
import time:      3176 |       3176 |                       streamlit.proto.Html_pb2
import time:      1175 |       1175 |                       streamlit.proto.IFrame_pb2
import time:      1287 |       1287 |                       streamlit.proto.Image_pb2
import time:       783 |        783 |                       streamlit.proto.Json_pb2
import time:       981 |        981 |                       streamlit.proto.LinkButton_pb2
import time:      1209 |       1209 |                       streamlit.proto.NumberInput_pb2
import time:      1020 |       1020 |                       streamlit.proto.Markdown_pb2
import time:      1317 |       1317 |                       streamlit.proto.Metric_pb2
import time:      1357 |       1357 |                       streamlit.proto.MultiSelect_pb2
import time:       957 |        957 |                       streamlit.proto.PageLink_pb2
import time:      1366 |       1366 |                       streamlit.proto.PlotlyChart_pb2
import time:      1354 |       1354 |                       streamlit.proto.Components_pb2
import time:      2029 |       2029 |                       streamlit.proto.Progress_pb2
import time:      1322 |       1322 |                       streamlit.proto.Snow_pb2
import time:      1294 |       1294 |                       streamlit.proto.Spinner_pb2
import time:      1029 |       1029 |                       streamlit.proto.Radio_pb2
import time:      3395 |       3395 |                       streamlit.proto.Selectbox_pb2
import time:      4135 |       4135 |                       streamlit.proto.Skeleton_pb2
import time:      1582 |       1582 |                       streamlit.proto.Slider_pb2
import time:      1107 |       1107 |                       streamlit.proto.Text_pb2
import time:      1362 |       1362 |                       streamlit.proto.TextArea_pb2
import time:      1619 |       1619 |                       streamlit.proto.TextInput_pb2
import time:      1534 |       1534 |                       streamlit.proto.TimeInput_pb2
import time:      1280 |       1280 |                       streamlit.proto.Toast_pb2
import time:      1098 |       1098 |                         streamlit.proto.NamedDataSet_pb2
import time:      1753 |       2850 |                       streamlit.proto.VegaLiteChart_pb2
import time:      1436 |       1436 |                       streamlit.proto.Video_pb2
import time:      1007 |       1007 |                       streamlit.proto.Heading_pb2
import time:      4912 |      79316 |                     streamlit.proto.Element_pb2
import time:       788 |      81161 |                   streamlit.proto.Delta_pb2
import time:      1407 |       1407 |                   streamlit.proto.GitInfo_pb2
import time:      1201 |       1201 |                   streamlit.proto.Logo_pb2
import time:       965 |        965 |                     streamlit.proto.AppPage_pb2
import time:      1100 |       2065 |                   streamlit.proto.Navigation_pb2
import time:      1343 |       1343 |                     streamlit.proto.SessionStatus_pb2
import time:      3551 |       4894 |                   streamlit.proto.NewSession_pb2
import time:      1510 |       1510 |                   streamlit.proto.PageConfig_pb2
import time:      1036 |       1036 |                   streamlit.proto.PageInfo_pb2
import time:      1325 |       1325 |                   streamlit.proto.PageProfile_pb2
import time:      1157 |       1157 |                   streamlit.proto.PageNotFound_pb2
import time:      1045 |       1045 |                   streamlit.proto.PagesChanged_pb2
import time:       921 |        921 |                   streamlit.proto.ParentMessage_pb2
import time:       912 |        912 |                   streamlit.proto.SessionEvent_pb2
import time:      1141 |       1141 |                   streamlit.proto.AuthRedirect_pb2
import time:      2140 |     103799 |                 streamlit.proto.ForwardMsg_pb2
import time:      2175 |       2175 |                     _uuid
import time:      3171 |       5346 |                   uuid
import time:      1883 |       1883 |                   google.protobuf.json_format
import time:       734 |        734 |                     streamlit.elements
import time:       559 |        559 |                       streamlit.elements.lib
import time:       960 |       1519 |                     streamlit.elements.lib.layout_utils
import time:       825 |        825 |                         streamlit.runtime.scriptrunner_utils
import time:       828 |        828 |                           streamlit.proto.WidgetStates_pb2
import time:      4319 |       5147 |                         streamlit.runtime.scriptrunner_utils.script_requests
import time:       960 |       6931 |                       streamlit.runtime.scriptrunner_utils.exceptions
import time:       878 |        878 |                         streamlit.runtime.forward_msg_cache
import time:      3821 |       4699 |                       streamlit.runtime.scriptrunner_utils.script_run_context
import time:      1277 |      12906 |                     streamlit.runtime.metrics_util
import time:      1659 |      16816 |                   streamlit.elements.exception
import time:       986 |        986 |                   streamlit.proto.ClientState_pb2
import time:      1299 |       1299 |                         streamlit.type_util
import time:       772 |        772 |                         streamlit.runtime.caching.cache_type
import time:      1391 |       3461 |                       streamlit.runtime.caching.cache_errors
import time:      3002 |       3002 |                         streamlit.dataframe_util
import time:       120 |        120 |                               gc
import time:       906 |        906 |                               timeit
import time:       754 |        754 |                               streamlit.runtime.pages_manager
import time:       823 |        823 |                                 streamlit.error_util
import time:       700 |       1523 |                               streamlit.runtime.scriptrunner.exec_code
import time:       787 |        787 |                                 streamlit.runtime.scriptrunner.magic
import time:      1401 |       1401 |                                 streamlit.source_util
