"Time","Math1","Vm1:Measured voltage","Gain1","C-Script:2","C-Script:1","Integrator"
51000,10,1039.6277426839335,162000,0,0,0.80058581555881658
51300,15,1039.6277426839335,162000,0,0,0.80058581555881658
51600,20,1039.6277426839335,162000,0,0,0.80058581555881658
51900,1,1039.6277426839335,162000,0,0,0.80058581555881658
52200,6,1039.6277426839335,162000,0,0,0.80058581555881658
52500,11,1039.6277426839335,162000,0,0,0.80058581555881658
52800,16,1039.6277426839335,162000,0,0,0.80058581555881658
53100,21,1039.6277426839335,161160,0,0,0.80058581555881658
53400,2,1039.6277426839335,161160,0,0,0.80058581555881658
53700,7,1039.6277426839335,161160,0,0,0.80058581555881658
54000,12,1039.6277426839335,143520,0,0,0.80058581555881658
54300,17,1039.6277426839335,143520,0,0,0.80058581555881658
54600,22,1039.6277426839335,143520,0,0,0.80058581555881658
54900,3,1039.6277426839335,156960,0,0,0.80058581555881658
55200,8,1039.6277426839335,156960,0,0,0.80058581555881658
55500,13,1039.6277426839335,156960,0,0,0.80058581555881658
55800,18,1039.6277426839335,144360,0,0,0.80058581555881658
56100,23,1039.6277426839335,144360,0,0,0.80058581555881658
56400,4,1039.6277426839335,144360,0,0,0.80058581555881658
56700,9,1039.6277426839335,134280,0,0,0.80058581555881658
57000,14,1039.6277426839335,134280,0,0,0.80058581555881658
57300,19,1039.6277426839335,134280,0,0,0.80058581555881658
57600,0,1039.6277426839335,120840,0,0,0.80058581555881658
57900,5,1039.6277426839335,120840,0,0,0.80058581555881658
58200,10,1039.6277426839335,120840,0,0,0.80058581555881658
58500,15,1039.6277426839335,119160,0,0,0.80058581555881658
58800,20,1039.6277426839335,119160,0,0,0.80058581555881658
59100,1,1039.6277426839335,119160,0,0,0.80058581555881658
59400,6,1039.6277426839335,110760,0,0,0.80058581555881658
59700,11,1039.6277426839335,110760,0,0,0.80058581555881658
60000,16,1039.6277426839335,110760,0,0,0.80058581555881658
60300,21,1039.6277426839335,68759.999979999993,0,0,0.80058581555881658
60600,2,1039.6277426839335,68759.999979999993,0,0,0.80058581555881658
60900,7,1039.6277426839335,68759.999979999993,0,0,0.80058581555881658
61200,12,1039.6277426839335,58680.000050000002,0,0,0.80058581555881658
61500,17,1039.6277426839335,58680.000050000002,0,0,0.80058581555881658
61800,22,1039.6277426839335,58680.000050000002,0,0,0.80058581555881658
62100,3,1039.6277426839335,51959.999969999997,0,0,0.80058581555881658
62400,8,1039.6277426839335,51959.999969999997,0,0,0.80058581555881658
62700,13,1039.6277426839335,51959.999969999997,0,0,0.80058581555881658
63000,18,1039.6277426839335,50279.999969999997,0,0,0.80058581555881658
63300,23,1039.6277426839335,50279.999969999997,0,0,0.80058581555881658
63600,4,1039.6277426839335,50279.999969999997,0,0,0.80058581555881658
63900,9,1039.6277426839335,-115919.9999,-1,-139.37681579589844,0.80058581555881658
64200,14,1028.2188056118423,-115919.9999,-1,-140.92330932617188,0.75743532178246453
64500,19,1020.149966340767,-115919.9999,-1,-142.03793334960938,0.71242359005547207
64800,0,1013.0831873817633,-111720,-1,-137.84652709960938,0.6670654134521028
65100,5,1006.7462031066738,-111720,-1,-138.71420288085938,0.62300953285070004
65400,10,999.86888222253879,-111720,-1,-139.66831970214844,0.57872383027653507
65700,15,992.53629208806535,-116760,-1,-147.04751586914063,0.5341213834884565
66000,20,986.08909675333882,-116760,-1,-148.00894165039063,0.48721923735011596
66300,1,983.62599670384509,-116760,-1,-148.37956237792969,0.44003716277583055
66600,6,981.18122906903068,-112559.9999,-1,-143.39859008789063,0.39273671920066938
66900,11,979.08735079506437,-112559.9999,-1,-143.70526123046875,0.34697623265197447
67200,16,976.85169707622163,-112559.9999,-1,-144.03414916992188,0.30116968114492887
67500,21,966.8097871890111,-112560,-1,-145.53018188476563,0.25512458932811266
67800,2,956.44912726657492,-112560,-1,-147.10662841796875,0.20859227741073616
68100,7,957.65535816263957,-112560,0,0,0.19766365438540978
68400,12,957.65535816263957,-115920,0,0,0.19766365438540978
68700,17,957.65535816263957,-115920,0,0,0.19766365438540978
69000,22,957.65535816263957,-115920,0,0,0.19766365438540978
69300,3,957.65535816263957,-112559.9999,0,0,0.19766365438540978
