"Time","Math1","Vm1:Measured voltage","Gain1","C-Script:2","C-Script:1","Integrator"
56700,9,1040.5015590656153,16994.162270821827,0,0,0.80192907332929009
57000,14,1040.5015590656153,16389.675981122742,0,0,0.80192907332929009
57300,19,1040.5015590656153,14614.012660374345,0,0,0.80192907332929009
57600,0,1040.5015590656153,10983.053137568879,0,0,0.80192907332929009
57900,5,1040.5015590656153,8113.2521314052156,0,0,0.80192907332929009
58200,10,1040.5015590656153,7046.2404286458886,0,0,0.80192907332929009
58500,15,1040.5015590656153,6484.3620771909063,0,0,0.80192907332929009
58800,20,1040.5015590656153,6458.4519740325795,0,0,0.80192907332929009
59100,1,1040.5015590656153,4913.5090907539952,0,0,0.80192907332929009
59400,6,1040.5015590656153,5137.1152516638822,0,0,0.80192907332929009
59700,11,1040.5015590656153,5710.8192906738122,0,0,0.80192907332929009
60000,16,1040.5015590656153,5202.9240872079281,0,0,0.80192907332929009
60300,21,1040.5015590656153,4456.2160085820997,0,0,0.80192907332929009
60600,2,1040.5015590656153,3468.6206133946966,0,0,0.80192907332929009
60900,7,1040.5015590656153,3127.2655014661614,0,0,0.80192907332929009
61200,12,1040.5015590656153,3197.7128870520855,0,0,0.80192907332929009
61500,17,1040.5015590656153,3126.2234090103543,0,0,0.80192907332929009
61800,22,1040.5015590656153,2994.941194608642,0,0,0.80192907332929009
62100,3,1040.5015590656153,2837.0363812379992,0,0,0.80192907332929009
62400,8,1040.5015590656153,2673.2583543421379,0,0,0.80192907332929009
62700,13,1040.5015590656153,2526.5673080427118,0,0,0.80192907332929009
63000,18,1040.5015590656153,2351.4128253364088,0,0,0.80192907332929009
63300,23,1040.5015590656153,2145.695978468133,0,0,0.80192907332929009
63600,4,1040.5015590656153,1982.4728338178834,0,0,0.80192907332929009
63900,9,1040.5015590656153,1802.1920316159319,0,0,0.80192907332929009
64200,14,1040.5015590656153,1619.6266252654252,0,0,0.80192907332929009
64500,19,1040.5015590656153,1439.8194974805374,0,0,0.80192907332929009
64800,0,1040.5015590656153,1264.445086710693,0,0,0.80192907332929009
65100,5,1040.5015590656153,-71245.926354757568,-1,-85.590850830078125,0.80192907332929009
65400,10,1033.491610247974,-71982.880666910263,-1,-87.062728881835938,0.7765383881966077
65700,15,1028.6051635012602,-72145.73979026913,-1,-87.674240112304688,0.74987579414607408
66000,20,1023.7011278399602,-75985.247727248847,-1,-92.782508850097656,0.72301859192226736
66300,1,1018.5408924367323,-77894.961205040236,-1,-95.596260070800781,0.69463665984067535
66600,6,1013.9040566547341,-82279.550286944155,-1,-101.43901824951172,0.66537608141039861
66900,11,1008.9109452751815,-86687.913695251482,-1,-107.40283203125,0.634351638456911
67200,16,1003.6292074041821,-90228.188728163368,-1,-112.37739562988281,0.60149675402914948
67500,21,998.13352212833274,-88269.512605599448,-1,-110.54322052001953,0.56710414448297075
67800,2,992.89438604397867,-82069.866104014596,-1,-103.32149505615234,0.53320889857152154
68100,7,988.13411402161853,-82271.694919462301,-1,-104.07455444335938,0.50147889039658655
68400,12,986.31077777018413,-80907.162125121293,-1,-102.53761291503906,0.4696308666953411
68700,17,984.71895389727922,-83520,-1,-106.02009582519531,0.43823757717780848
